ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
1;LINDOLFO COLLOR;13;CENTRO;2024;01/01/2024;18:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 13, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.767579,-51.140641;;;;;;;;;;;;;;
2;PONTES DE MIRANDA;50;FEITORIA;2024;02/01/2024;13:00:00;SAO LEOPOLDO;PONTES DE MIRANDA, 50, FEITORIA, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.752724989575952, -51.08909863202201;;;;;;;;;;;;;;
3;SAO JOAQUIM;1262;CENTRO;2024;02/01/2024;00:30:00;SAO LEOPOLDO;SAO JOAQUIM, 1262, CENTRO, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.769505,-51.143134;;;;;;;;;;;;;;
4;DA GRACA;156;CRISTO REI;2024;03/01/2024;14:30:00;SAO LEOPOLDO;DA GRACA, 156, CRISTO REI, SAO LEOPOLDO;VEICULO;quarta-feira;-29.78178918685894, -51.151143438767974;;;;;;;;;;;;;;
5;EMILIO H DEXHEIMER;0;JARDIM AMERICA;2024;03/01/2024;19:00:00;SAO LEOPOLDO;EMILIO H DEXHEIMER, 0, JARDIM AMERICA, SAO LEOPOLDO;VEICULO;quarta-feira;-29.778483592978418, -51.13168867478285;;;;;;;;;;;;;;
6;CORONEL ATALIBIO TAURINO DE REZENDE;1055;CAMPINA;2024;04/01/2024;17:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1055, CAMPINA, SAO LEOPOLDO;COMERCIO;quinta-feira;-29.742956355065704, -51.15447870360244;;;;;;;;;;;;;;
7;DOUTOR HILLEBRAND;925;RIO DOS SINOS;2024;05/01/2024;02:30:00;SAO LEOPOLDO;DOUTOR HILLEBRAND, 925, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.749618645473433, -51.14747720318693;;;;;;;;;;;;;;
8;PARQUE DE RECREACAO DO TRABALHADOR;811;VICENTINA;2024;05/01/2024;18:00:00;SAO LEOPOLDO;PARQUE DE RECREACAO DO TRABALHADOR, 811, VICENTINA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.780500615426817, -51.166279416679664;;;;;;;;;;;;;;
9;VITORINO PORTELA;165;SANTO ANDRE;2024;06/01/2024;17:00:00;SAO LEOPOLDO;VITORINO PORTELA, 165, SANTO ANDRE, SAO LEOPOLDO;VEICULO;sábado;-29.773018,-51.114347;;;;;;;;;;;;;;
10;BENTO GONCALVES;1316;CENTRO;2024;07/01/2024;09:00:00;SAO LEOPOLDO;BENTO GONCALVES, 1316, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.771546234822363, -51.14622098316287;;;;;;;;;;;;;;
